ref_gyro_x (deg/s),ref_gyro_y (deg/s),ref_gyro_z (deg/s)
3.543207813446885412e-03,-9.018205188478441733e-05,-2.214041970068620410e-03
3.543207778598446173e-03,-9.018205187194941518e-05,-2.214042025837780533e-03
3.543207743750005200e-03,-9.018205185911439947e-05,-2.214042081606939789e-03
3.543207708901564661e-03,-9.018205184627938375e-05,-2.214042137376099045e-03
3.543207674053122386e-03,-9.018205183344434094e-05,-2.214042193145257433e-03
3.543207639204679245e-03,-9.018205182060933878e-05,-2.214042248914414954e-03
3.543207604356235236e-03,-9.018205180777430952e-05,-2.214042304683572042e-03
3.543207569507790360e-03,-9.018205179493926670e-05,-2.214042360452728696e-03
3.543207534659345050e-03,-9.018205178210425099e-05,-2.214042416221884482e-03
3.543207499810898872e-03,-9.018205176926923528e-05,-2.214042471991039835e-03
3.543207464962451828e-03,-9.018205175643421957e-05,-2.214042527760195188e-03
3.543207430114003482e-03,-9.018205174359919031e-05,-2.214042583529349240e-03
3.543207395265553835e-03,-9.018205173076417459e-05,-2.214042639298503291e-03
3.543207360417104622e-03,-9.018205171792913178e-05,-2.214042695067656476e-03
3.543207325568653674e-03,-9.018205170509411607e-05,-2.214042750836809226e-03
3.543207290720202293e-03,-9.018205169225910036e-05,-2.214042806605961543e-03
3.543207255871749176e-03,-9.018205167942405754e-05,-2.214042862375112993e-03
3.543207221023295626e-03,-9.018205166658904183e-05,-2.214042918144264443e-03
3.543207186174841643e-03,-9.018205165375402612e-05,-2.214042973913415025e-03
3.543207151326386358e-03,-9.018205164091901041e-05,-2.214043029682564740e-03
3.543207116477929772e-03,-9.018205162808396759e-05,-2.214043085451714021e-03
3.543207081629473620e-03,-9.018205161524895188e-05,-2.214043141220863303e-03
3.543207046781015734e-03,-9.018205160241393617e-05,-2.214043196990011283e-03
3.543207011932556980e-03,-9.018205158957889335e-05,-2.214043252759159263e-03
3.543206977084097792e-03,-9.018205157674386409e-05,-2.214043308528306376e-03
3.543206942235637303e-03,-9.018205156390884838e-05,-2.214043364297452621e-03
3.543206907387175947e-03,-9.018205155107381912e-05,-2.214043420066598867e-03
3.543206872538713290e-03,-9.018205153823878985e-05,-2.214043475835744245e-03
3.543206837690249765e-03,-9.018205152540374704e-05,-2.214043531604889623e-03
3.543206802841786674e-03,-9.018205151256874488e-05,-2.214043587374033267e-03
3.543206767993321848e-03,-9.018205149973370206e-05,-2.214043643143177344e-03
3.543206733144856155e-03,-9.018205148689868635e-05,-2.214043698912320553e-03
3.543206698296389595e-03,-9.018205147406367064e-05,-2.214043754681463329e-03
3.543206663447922601e-03,-9.018205146122862783e-05,-2.214043810450606106e-03
3.543206628599454740e-03,-9.018205144839359856e-05,-2.214043866219747147e-03
3.543206593750985144e-03,-9.018205143555859640e-05,-2.214043921988888188e-03
3.543206558902514680e-03,-9.018205142272354004e-05,-2.214043977758028362e-03
3.543206524054044650e-03,-9.018205140988851077e-05,-2.214044033527168970e-03
3.543206489205572452e-03,-9.018205139705349506e-05,-2.214044089296308276e-03
3.543206454357099820e-03,-9.018205138421845225e-05,-2.214044145065446716e-03
3.543206419508625887e-03,-9.018205137138342298e-05,-2.214044200834585155e-03
3.543206384660151521e-03,-9.018205135854838017e-05,-2.214044256603723160e-03
3.543206349811676720e-03,-9.018205134571339156e-05,-2.214044312372859865e-03
3.543206314963200185e-03,-9.018205133287833519e-05,-2.214044368141996569e-03
3.543206280114722783e-03,-9.018205132004331948e-05,-2.214044423911133274e-03
3.543206245266245814e-03,-9.018205130720827667e-05,-2.214044479680267810e-03
3.543206210417766677e-03,-9.018205129437326095e-05,-2.214044535449403214e-03
3.543206175569287106e-03,-9.018205128153823169e-05,-2.214044591218537316e-03
3.543206140720806668e-03,-9.018205126870318888e-05,-2.214044646987670985e-03
3.543206105872325797e-03,-9.018205125586817316e-05,-2.214044702756804220e-03
3.543206071023842756e-03,-9.018205124303311680e-05,-2.214044758525936588e-03
3.543206036175360150e-03,-9.018205123019810109e-05,-2.214044814295069389e-03
3.543206001326875808e-03,-9.018205121736307182e-05,-2.214044870064200889e-03
3.543205966478391467e-03,-9.018205120452802901e-05,-2.214044925833331956e-03
3.543205931629905825e-03,-9.018205119169301330e-05,-2.214044981602462589e-03
3.543205896781419315e-03,-9.018205117885798403e-05,-2.214045037371592355e-03
3.543205861932931938e-03,-9.018205116602295477e-05,-2.214045093140721253e-03
3.543205827084442826e-03,-9.018205115318792551e-05,-2.214045148909850151e-03
3.543205792235954148e-03,-9.018205114035288269e-05,-2.214045204678979049e-03
3.543205757387463736e-03,-9.018205112751785343e-05,-2.214045260448106213e-03
3.543205722538972889e-03,-9.018205111468281061e-05,-2.214045316217234244e-03
3.543205687690481175e-03,-9.018205110184778135e-05,-2.214045371986360106e-03
3.543205652841988160e-03,-9.018205108901273853e-05,-2.214045427755485969e-03
3.543205617993495579e-03,-9.018205107617772282e-05,-2.214045483524611831e-03
3.543205583145000396e-03,-9.018205106334266645e-05,-2.214045539293736826e-03
3.543205548296505213e-03,-9.018205105050765074e-05,-2.214045595062860521e-03
3.543205513448009162e-03,-9.018205103767260792e-05,-2.214045650831984648e-03
3.543205478599511810e-03,-9.018205102483757866e-05,-2.214045706601107909e-03
3.543205443751013591e-03,-9.018205101200253585e-05,-2.214045762370230302e-03
3.543205408902515372e-03,-9.018205099916750658e-05,-2.214045818139352695e-03
3.543205374054015418e-03,-9.018205098633246377e-05,-2.214045873908474221e-03
3.543205339205515031e-03,-9.018205097349743450e-05,-2.214045929677595313e-03
3.543205304357013342e-03,-9.018205096066239169e-05,-2.214045985446715537e-03
3.543205269508511220e-03,-9.018205094782737598e-05,-2.214046041215835762e-03
3.543205234660008664e-03,-9.018205093499233316e-05,-2.214046096984955119e-03
3.543205199811503940e-03,-9.018205092215729034e-05,-2.214046152754073609e-03
3.543205164962999650e-03,-9.018205090932226108e-05,-2.214046208523192099e-03
3.543205130114493624e-03,-9.018205089648720471e-05,-2.214046264292309722e-03
3.543205095265986732e-03,-9.018205088365218900e-05,-2.214046320061426910e-03
3.543205060417479405e-03,-9.018205087081715974e-05,-2.214046375830543232e-03
3.543205025568970778e-03,-9.018205085798213047e-05,-2.214046431599659120e-03
3.543204990720461717e-03,-9.018205084514707411e-05,-2.214046487368775008e-03
3.543204955871950921e-03,-9.018205083231205840e-05,-2.214046543137889594e-03
3.543204921023440559e-03,-9.018205081947701558e-05,-2.214046598907004181e-03
3.543204886174928028e-03,-9.018205080664195921e-05,-2.214046654676117467e-03
